2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
11,Austin, Texas,"964,254","790,390",+22.00%,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin),"Austin is the capital of the U.S. state of Texas and the seat of Travis County, with portions extending into Hays and Williamson counties. It is the 11th-most populous city in the United States and the 4th-most populous city in Texas. It is also the fastest growing large city in the United States, the second most populous state capital after Phoenix, Arizona, and the southernmost state capital in the contiguous United States. As of the U.S. Census Bureau's July 1, 2017 estimate, Austin had a population of 950,715 up from 790,491 at the 2010 census. The city is the cultural and economic center of the Austin–Round Rock metropolitan statistical area, which had an estimated population of 2,168,316 as of July 1, 2018. Located in Central Texas within the greater Texas Hill Country, it is home to numerous lakes, rivers, and waterways, including Lady Bird Lake and Lake Travis on the Colorado River, Barton Springs, McKinney Falls, and Lake Walter E. Long.","78701–78705, 78708–78739, 78741–78742, 78744–78769"
12,Jacksonville[f], Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville),"Jacksonville is the most populous city in Florida, the most populous city in the southeastern United States and the largest city by area in the contiguous United States. It is the seat of Duval County, with which the city government consolidated in 1968. Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits. As of 2017, Jacksonville's population was estimated to be 892,062. The Jacksonville metropolitan area has a population of 1,523,615 and is the fourth largest in Florida.","32099, 32201–32212, 32214–32241, 32244–32247, 32250, 32254–32260, 32266, 32267, 32277, 32290"
13,Fort Worth, Texas,"895,008","741,206",+20.75%,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth),"Fort Worth is a city in the U.S. state of Texas. It is the 13th-largest city in the United States and fifth-largest city in Texas. It is the county seat of Tarrant County, covering nearly 350 square miles  into three other counties: Denton, Parker, and Wise. According to the 2017 census estimates, Fort Worth's population is 874,168. Fort Worth is the second-largest city in the Dallas–Fort Worth–Arlington metropolitan area, which is the 4th most populous metropolitan area in the United States.","76120, 76008, 76028, 76036, 7610176124, 7612676127, 7613076137, 76140, 7614776148, 76150, 76155, 7616176164, 76166, 76177, 76179, 7618076182, 76185, 7619176193, 7619576199, 76244, 76247, 76262, 76129 , 76107"
14,Columbus, Ohio,"892,533","787,033",+13.40%,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus),"Columbus  is the state capital of and the most populous city in the U.S. state of Ohio. With a population of 892,533 as of 2018 estimates, it is the 14th-most populous city in the United States  and one of the fastest growing large cities in the nation. This makes Columbus the third-most populous state capital in the US  and the second-most populous city in the Midwest . It is the core city of the Columbus, OH Metropolitan Statistical Area, which encompasses ten counties. With a population of 2,078,725, it is Ohio's second-largest metropolitan area."," 43035, 43085, 4320143207, 4320943224, 4322643232, 4323443236, 43240, 43251, 43260, 43266, 43268, 4327043272, 43279, 43287, 43291"
15,San Francisco[g], California,"883,305","805,235",+9.70%,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco),"San Francisco ; Spanish for 'Saint Francis'), officially the City and County of San Francisco, is a city in, and the cultural, commercial, and financial center of, Northern California. San Francisco is the 13th-most populous city in the United States, and the fourth-most populous in California, with 883,305 residents as of 2018. It covers an area of about 46.89 square miles , mostly at the north end of the San Francisco Peninsula in the San Francisco Bay Area, making it the second-most densely populated large US city, and the fifth-most densely populated U.S. county, behind only four of the five New York City boroughs. San Francisco is also part of the fifth-most populous primary statistical area in the United States, the San Jose–San Francisco–Oakland, CA Combined Statistical Area .",94102–9410594107–9411294114–941349413794139–941479415194158–9416194163–94164941729417794188
16,Charlotte, North Carolina,"872,498","731,424",+19.29%,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte),"Charlotte  is the most populous city in the U.S. state of North Carolina. Located in the Piedmont, it is the county seat of Mecklenburg County. In 2017, the U.S. Census Bureau estimated the population was 859,035, making it the 17th-most populous city in the United States. The Charlotte metropolitan area's population ranks 23rd in the U.S., and had a 2016 population of 2,474,314.   The Charlotte metropolitan area is part of a sixteen-county market region or combined statistical area with a 2016 census-estimated population of 2,632,249.","2820128237, 2824028247, 28250, 2825328256, 28258,  2826028262, 2826528266, 2826928275, 2827728278, 2828028290, 2829628297, 28299"
17,Indianapolis[h], Indiana,"867,125","820,445",+5.69%,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis),"Indianapolis , often shortened to Indy, is the state capital and most populous city of the U.S. state of Indiana and the seat of Marion County. According to 2017 estimates from the U.S. Census Bureau, the consolidated population of Indianapolis and Marion County was 872,680. The ""balance"" population, which excludes semi-autonomous municipalities in Marion County, was 863,002. It is the 16th most populous city in the U.S. The Indianapolis metropolitan area is the 34th most populous metropolitan statistical area in the U.S., with 2,028,614 residents. Its combined statistical area ranks 27th, with a population of 2,411,086. Indianapolis covers 368 square miles , making it the 16th largest city by land area in the U.S.","61   46201–46209, 46211, 46214, 46216–46231, 46234–46237, 46239–46242, 46244, 46247, 46249–46251, 46253–46256, 46259–46260, 46266, 46268, 46274–46275, 46277–46278, 46280, 46282–46283, 46285, 46290–46291, 46295–46296, 46298"
18,Seattle, Washington,"744,955","608,660",+22.39%,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle),"Seattle  see-AT-əl) is a seaport city on the West Coast of the United States. It  is the seat of King County, Washington. With an estimated 730,000 residents as of 2018, Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. According to U.S. Census data released in 2018, the Seattle metropolitan area's population stands at 3.87 million, and ranks as the 15th largest in the United States. In July 2013, it was the fastest-growing major city in the United States and remained in the top 5 in May 2015 with an annual growth rate of 2.1%. In July 2016, Seattle was again the fastest-growing major U.S. city, with a 3.1% annual growth rate. Seattle is the northernmost large city in the United States.","  98101–98119, 98121–98122, 98124–98127, 98129, 98131, 98133–98134, 98136, 98138–98139, 98141, 98144–98146, 98148, 98154–98155, 98158, 98160–98161, 98164–98166, 98168, 98170, 98174–98175, 98177–98178, 98181, 98185, 98188, 98190–98191, 98194–98195, 98198–98199"
19,Denver[i], Colorado,"716,492","600,158",+19.38%,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver),"Denver , officially the City and County of Denver, is the capital and most populous municipality of the U.S. state of Colorado. Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains. The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River, approximately 12 mi  east of the foothills of the Rocky Mountains. Denver is named after James W. Denver, a governor of the Kansas Territory, and it is nicknamed the Mile High City because its official elevation is exactly one mile  above sea level. The 105th meridian west of Greenwich, the longitudinal reference for the Mountain Time Zone, passes directly through Denver Union Station.","80201–80212, 80214–80239, 80241, 80243–80244, 80246–80252, 80256–80266, 80271, 80273–80274, 80279–80281, 80290–80291, 80293–80295, 80299, 80012, 80014, 80022, 80033, 80123, 80127"
20,"Washington, D.C.[j]", District of Columbia,"702,455","601,723",+16.74%,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)","Washington, D.C., formally the District of Columbia and commonly referred to as Washington or D.C., is the capital of the United States. Founded after the American Revolution as the seat of government of the newly independent country, Washington was named after George Washington, the first President of the United States and a Founding Father. As the seat of the United States federal government and several international organizations, Washington is an important world political capital. The city is also one of the most visited cities in the world, with more than 20 million tourists annually.","20001–20098, 20201–20599"
21,Boston, Massachusetts,"694,583","617,594",+12.47%,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston),"Boston is the capital and most populous city of the Commonwealth of Massachusetts in the United States. The city proper covers 48 square miles  with an estimated population of 694,583 in 2018, making it also the most populous city in New England. Boston is the seat of Suffolk County as well, although the county government was disbanded on July 1, 1999. The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston, a metropolitan statistical area  home to a census-estimated 4.8 million people in 2016 and ranking as the tenth-largest such area in the country. As a combined statistical area , this wider commuting region is home to some 8.2 million people, making it the sixth-largest in the United States.","53  02108–02137, 02163, 02196, 02199, 02201, 02203, 02204, 02205, 02206, 02210, 02211, 02212, 02215, 02217, 02222, 02126, 02228, 02241, 02266, 02283, 02284, 02293, 02295, 02297, 02298, 02467 "
22,El Paso, Texas,"682,669","649,121",+5.17%,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso),"El Paso  is a city in and the county seat of El Paso County, Texas, United States, in the far western part of the state. The 2017 population estimate for the city from the U.S. Census was 683,577. Its metropolitan statistical area  covers all of El Paso and Hudspeth counties in Texas, and has a population of 844,818.","7990079999,8850088599 "
23,Detroit, Michigan,"672,662","713,777",−5.76%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit),"Detroit  is the largest and most populous city in the U.S. state of Michigan, the largest United States city on the United States–Canada border, and the seat of Wayne County. The municipality of Detroit had a 2017 estimated population of 673,104, making it the 23rd-most populous city in the United States. The metropolitan area, known as Metro Detroit, is home to 4.3 million people, making it the second-largest in the Midwest after the Chicago metropolitan area. Regarded as a major cultural center, Detroit is known for its contributions to music and as a repository for art, architecture and design.","48127, 48201, 48202, 48204–48206, 48208–48210, 48212–48217, 48219, 48221–48228, 48231–48235, 48236, 48238–48240, 48243, 48244, 48255, 48260, 48264, 48266–48269, 48272, 48275, 48277–48279, 48288"
24,Nashville[k], Tennessee,"669,053","601,222",+11.28%,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville),"Located in northern Middle Tennessee, Nashville is the main core of the largest metropolitan area in Tennessee. The 2017 population of the entire 14-county Nashville metropolitan area was 1,903,045. The 2017 population of the Nashville–Davidson–Murfreesboro–Columbia combined statistical area, a larger trade area, was 2,027,489.",3720137250
25,Portland, Oregon,"653,115","583,776",+11.88%,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland),"Portland is the largest and most populous city in the U.S. state of Oregon and the seat of Multnomah County. It is a major port in the Willamette Valley region of the Pacific Northwest, at the confluence of the Willamette and Columbia rivers. As of 2018, Portland had an estimated population of 653,115,  making it the 25th most populated city in the United States, and the second-most populous in the Pacific Northwest . Approximately 2.4 million people live in the Portland metropolitan statistical area , making it the 25th most populous MSA in the United States. Its Combined Statistical Area  ranks 19th-largest with a population of around 3.2 million. Approximately 60% of Oregon's population resides within the Portland metropolitan area.",9708697299
26,Memphis, Tennessee,"650,618","646,889",+0.58%,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis),"Memphis is a city located along the Mississippi River in southwestern Shelby County, Tennessee, United States. The 2017 city population was 652,236, making Memphis the largest city on the Mississippi River, second-largest city in Tennessee, as well as the 25th largest city in the United States. Greater Memphis is the 42nd largest metropolitan area in the United States, with a population of 1,348,260 in 2017. The city is the anchor of West Tennessee and the greater Mid-South region, which includes portions of neighboring Arkansas and Mississippi. Memphis is the seat of Shelby County, the most populous county in Tennessee. As one of the most historic and cultural cities of the southern United States, the city features a wide variety of landscapes and distinct neighborhoods."," 37501, 37544, 38002, 38016, 38018, 38028, 38088, 38101, 38103–38109, 38111–38120, 38122, 38124–38128, 38130–38139, 38141, 38145, 38147–38148, 38150–38152, 38157, 38159, 38161, 38163, 38166–38168, 38173–38175, 38177, 38181–38182, 38184, 38186–38188, 38190, 38193–38194, 38197"
27,Oklahoma City, Oklahoma,"649,021","579,999",+11.90%,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City),"Oklahoma City , often shortened to OKC, is the capital and largest city of the U.S. state of Oklahoma. The county seat of Oklahoma County, the city ranks 27th among United States cities in population. The population grew following the 2010 Census, with the population estimated to have increased to 649,021 as of July 2018. The Oklahoma City metropolitan area had a population of 1,396,445, and the Oklahoma City-Shawnee Combined Statistical Area had a population of 1,469,124 residents, making it Oklahoma's largest municipality and metropolitan area by population.   "," 7310173132, 7313473137, 7313973160, 7316273165, 73167, 7316973170, 7317273173, 7317873179, 7318473185, 7318973190, 7319473196, 73198, 74013"
28,Las Vegas, Nevada,"644,644","583,756",+10.43%,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas),"Las Vegas  Spanish for ""The Meadows""; Spanish: ), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert. Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada.",
29,Louisville[l], Kentucky,"620,118","597,337",+3.81%,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville),"Louisville  LOO-ə-vəl, /ˈluːivɪl/  LOO-ee-vil, /ˈlʊvəl/  LUUV-əl) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States. It is one of two cities in Kentucky designated as first-class, the other being Lexington, the state's second-largest city. Louisville is the historical seat and, since 2003, the nominal seat of Jefferson County, located in the northern region of the state, on the border with Indiana."," 402xx 400xx, 401xx"
30,Baltimore[m], Maryland,"602,495","620,961",−2.97%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore),"Baltimore  is the largest city in the state of Maryland within the United States. Baltimore was established by the Constitution of Maryland as an independent city in 1729. With a population of 602,495 in 2018, Baltimore is the largest such independent city in the United States.  As of 2017, the population of the Baltimore metropolitan area was estimated to be just under 2.802 million, making it the 21st largest metropolitan area in the country. Baltimore is located about 40 miles  northeast of Washington, D.C., making it a principal city in the Washington-Baltimore combined statistical area , the fourth-largest CSA in the nation, with a calculated 2018 population of 9,797,063."," 21201–21231, 21233–21237, 21239–21241, 21244, 21250–21252, 21263–21265, 21268, 21270, 21273–21275, 21278–21290, 21297–21298"
31,Milwaukee, Wisconsin,"592,025","594,833",−0.47%,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee),"Milwaukee  is the largest city in the state of Wisconsin and the fifth-largest city in the Midwestern United States.  The seat of the eponymous county, it is on Lake Michigan's western shore. Ranked by its estimated 2014 population, Milwaukee was the 31st largest city in the United States. The city's estimated population in 2017 was 595,351. Milwaukee is the main cultural and economic center of the Milwaukee metropolitan area which had a population of 2,043,904 in the 2014 census estimate. It is the second-most densely populated metropolitan area in the Midwest, surpassed only by Chicago. Milwaukee is considered a Gamma global city as categorized by the Globalization and World Cities Research Network with a regional GDP of over $105 billion. ","53172, 53201–53216, 53218–53228, 53233–53234, 53237, 53259, 53263, 53267–53268, 53274, 53278, 53288, 53290, 53293, 53295"
32,Albuquerque, New Mexico,"560,218","545,852",+2.63%,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque),"Albuquerque  AL-bə-kur-kee; Navajo: Beeʼeldííl Dahsinil ; Eastern Keres: Arawageeki; Jemez: Vakêêke; Zuni: Alo:ke:k'ya; Jicarilla Apache: Gołgéeki'yé), also known locally as Duke City and abbreviated as ABQ, is the most populous city in the U.S. state of New Mexico and the 32nd-most populous city in the United States, with a census-estimated population of 558,545 in 2017. It is the principal city of the Albuquerque metropolitan area, which has 915,927 residents as of July 2018. Albuquerque's Metropolitan statistical area is the 60th-largest in the United States. The Albuquerque MSA population includes the cities of Rio Rancho, Bernalillo, Placitas, Corrales, Los Lunas, Belen, and Bosque Farms, and forms part of the larger Albuquerque–Santa Fe–Las Vegas combined statistical area, with a total population of 1,171,991 in 2016.","87101–87125, 87131,87151, 87153, 87154,87158, 87174, 87176,87181, 87184, 87185,87187, 87190–87199"
33,Tucson, Arizona,"545,975","520,116",+4.97%,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson),"Tucson  is a city and the county seat of Pima County, Arizona, United States, and home to the University of Arizona. The 2010 United States Census put the population at 520,116, while the 2015 estimated population of the entire Tucson metropolitan statistical area  was 980,263. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area , with a total population of 1,010,025 as of the 2010 Census. Tucson is the second-largest populated city in Arizona behind Phoenix, both of which anchor the Arizona Sun Corridor. The city is 108 miles  southeast of Phoenix and 60 mi  north of the U.S.–Mexico border. Tucson is the 33rd largest city and the 58th largest metropolitan area in the United States .",8570185775
34,Fresno, California,"530,093","494,665",+7.16%,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno),"Fresno  is a city in California, United States, and the county seat of Fresno County. It covers about 112 square miles  in the center of the San Joaquin Valley, the southern portion of California's Central Valley.","93650, 93701–93712, 93714–93718, 93720–93730, 93737, 93740, 93741, 93744, 93745, 93747, 93750, 93755, 93760, 93761, 93764, 93765, 93771–79, 93786, 93790–94, 93844, 93888"
35,Mesa, Arizona,"508,958","439,041",+15.92%,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa),"Mesa  is a city in Maricopa County, in the U.S. state of Arizona. It is a suburb located about 20 miles  east of Phoenix in the East Valley section of the Phoenix Metropolitan Area. It is bordered by Tempe on the west, the Salt River Pima-Maricopa Indian Community on the north, Chandler and Gilbert on the south along with Queen Creek, and Apache Junction on the east. ",8520085299
